country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
Mongolia,East Asia,Asia,country,46.8250388,103.8499736,52620,2018,3170214,16.6,0.89,0.05,0,0,0,0.01,0,0,0.05,0,0,1,0
Northern Mariana Islands,Oceania,Oceania,country,14.1490205,145.2134525,5,1989,43542,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Mozambique,Sub-Saharan Africa,Africa,country,-19.302233,34.9144977,35040,2018,29496009,1.19,0,0,0.17,0,0,0.83,0,0,0,0,0,1,0
Mauritania,Sub-Saharan Africa,Africa,country,20.2540382,-9.2399263,14080,2018,4403312,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Mauritius,Sub-Saharan Africa,Africa,country,-20.2759451,57.5703566,6740,2018,1265303,5.33,0.42,0.38,0,0,0,0.03,0,0.02,0,0.15,0,1,0
Malawi,Sub-Saharan Africa,Africa,country,-13.2687204,33.9301963,18320,2018,18143215,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Malaysia,Southeast Asia,Asia,country,4.5693754,102.2656823,306670,2018,31528033,9.73,0.44,0.01,0.38,0,0,0.16,0,0,0,0.01,0,1,0
Namibia,Sub-Saharan Africa,Africa,country,-23.2335499,17.3231107,12890,2017,2402623,5.36,0.04,0,0,0,0,0.96,0,0,0,0,0,1,0
New Caledonia,Oceania,Oceania,country,-21.3019905,165.4880773,0,1974,131000, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Niger,Sub-Saharan Africa,Africa,country,17.7356214,9.3238432,45050,2018,22442831,2.01,0.41,0.58,0,0,0,0,0,0.01,0,0,0,1,0
Nigeria,Sub-Saharan Africa,Africa,country,9.6000359,7.9999721,311450,2018,195874685,1.59,0,0,0.83,0,0,0.17,0,0,0,0,0,1,0
Nicaragua,Central America,North America,country,12.6090157,-85.2936911,19070,2018,6465502,2.95,0,0.44,0,0,0,0.1,0.17,0,0.14,0.15,0,1,0
Netherlands,Western Europe,Europe,country,52.2288689,5.3214503,178640,2018,17231624,10.37,0.29,0.01,0.51,0,0.03,0,0,0.02,0.09,0.05,0,1,0
Norway,Nordic Countries,Europe,country,60.5000209,9.0999715,47340,2018,5311916,8.91,0,0,0.02,0,0,0.96,0,NA,0.02,0,0,1,0
Nepal,South Asia,Asia,country,28.1083929,84.0917139,51240,2018,28095712,1.82,0,0,0,0,0,1,0,0,0,0,0,1,0
Nauru,Oceania,Oceania,country,-0.5252306,166.9324426,110,1998,10567,10.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
New Zealand,Oceania,Oceania,country,-41.5000831,172.8344077,81330,2018,4900600,16.6,0.03,0,0.16,0,0,0.57,0.18,0,0.05,0.01,0,1,0
Oman,Middle East,Asia,country,21.0000287,57.0036901,82300,2018,4829476,17.04,0,0.03,0.97,0,0,0,0,0,0,0,0,1,0
Pakistan,South Asia,Asia,country,30.3308401,71.247499,431220,2018,212228288,2.03,0.08,0.22,0.37,0,0.08,0.21,0,0.01,0.02,0.01,0,1,0
Panama,Central America,North America,country,8.559559,-81.1308434,18010,2018,4176868,4.31,0.02,0.27,0,0,0,0.66,0,0.01,0.04,0,0,1,0
Peru,South America,South America,country,-6.8699697,-75.0458515,96280,2018,31989265,3.01,0.01,0.02,0.37,0,0,0.55,0,0.01,0.02,0.02,0,1,0
Philippines,Southeast Asia,Asia,country,12.7503486,122.7312101,232340,2018,106651394,2.18,0.5,0.04,0.22,0,0,0.1,0.11,0.01,0.01,0.01,0,1,0
Palau,Oceania,Oceania,country,5.3783537,132.9102573,220,1997,18016,12.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Papua New Guinea,Oceania,Oceania,country,-5.6816069,144.2489081,22970,2018,8606324,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Poland,Central Europe and Baltics,Europe,country,52.215933,19.134422,389650,2018,37974750,10.26,0.78,0.01,0.06,0,0,0.02,0,0,0.09,0.04,0,1,0
Puerto Rico,Caribbean,North America,country,18.2214149,-66.4132818,2858,1989,3505650,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
North Korea,East Asia,Asia,country,40.3736611,127.0870417,41910,2018,25549606,1.64,0.16,0.05,0,0,0,0.78,0,0,0,0,0,1,0
Portugal,Western Europe,Europe,country,40.0332629,-7.8896263,66820,2018,10283822,6.5,0.25,0.02,0.33,0,0,0.1,0,0.02,0.21,0.06,0,1,0
Paraguay,South America,South America,country,-23.3165935,-58.1693445,49170,2018,6956069,7.07,0,0,0,0,0,1,0,0,0,0,0,1,0
French Polynesia,Oceania,Oceania,country,-16.03442485,-146.0490931,0,1979,148734, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Qatar,Middle East,Asia,country,25.3336984,51.2295295,99830,2018,2781682,35.89,0,0,1,0,0,0,0,0,0,0,0,1,0
Romania,"Eastern Europe, Balkans, Caucasus",Europe,country,45.9852129,24.6859225,109010,2018,19473970,5.6,0.26,0.01,0.17,0,0.18,0.23,0,0.03,0.12,0.01,0,1,0
Russian Federation,"Eastern Europe, Balkans, Caucasus",Europe,country,64.6863136,97.7453061,2543400,2018,144477859,17.6,0.16,0.01,0.47,0,0.19,0.17,0,0,0,0,0,1,0
Rwanda,Sub-Saharan Africa,Africa,country,-1.9646631,30.0644358,6170,2018,12301969,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Saudi Arabia,Middle East,Asia,country,25.6242618,42.3528328,585810,2013,30052058,19.49,0,0.12,0.64,0.24,0,0,0,0,0,0,0,1,0
Sudan,Sub-Saharan Africa,Africa,country,14.5844444,29.4917691,109630,2018,41801532,2.62,0,0.23,0,0.17,0,0.6,0,0,0,0,0,1,0
Senegal,Sub-Saharan Africa,Africa,country,14.4750607,-14.4529612,29990,2018,15854324,1.89,0,0.86,0.02,0,0,0.07,0,0.03,0,0.01,0.01,1,0
Singapore,Southeast Asia,Asia,country,1.357107,103.8194992,49710,1998,3927213,12.66,0.01,0.01,0.95,0,0,0,0,0,0,0.03,0,1,0
Solomon Islands,Oceania,Oceania,country,-8.7053941,159.1070694,940,2018,652856,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Sierra Leone,Sub-Saharan Africa,Africa,country,8.6400349,-11.8400269,7190,2018,7650149,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
